Date,Price,Trend Indicator
2011-01-14,0.4,1.0
2011-01-15,0.4,1.0
2011-01-16,0.4,1.0
2011-01-17,0.3,1.0
2011-01-18,0.3,1.0
2011-01-19,0.3,0.5
2011-01-20,0.4,0.5
2011-01-21,0.4,1.0
2011-01-22,0.4,1.0
2011-01-23,0.4,1.0
2011-01-24,0.4,1.0
2011-01-25,0.4,1.0
2011-01-26,0.4,1.0
2011-01-27,0.4,1.0
2011-01-28,0.4,1.0
2011-01-29,0.4,1.0
2011-01-30,0.5,1.0
2011-01-31,0.5,1.0
2011-02-01,0.7,1.0
2011-02-02,0.7,1.0
2011-02-03,0.7,1.0
2011-02-04,0.8,1.0
2011-02-05,0.9,1.0
2011-02-06,0.9,1.0
2011-02-07,0.9,1.0
2011-02-08,0.9,1.0
2011-02-09,1.1,1.0
2011-02-10,1.0,1.0
2011-02-11,1.1,1.0
2011-02-12,1.1,1.0
2011-02-13,1.0,1.0
2011-02-14,1.1,1.0
2011-02-15,1.0,1.0
2011-02-16,1.0,1.0
2011-02-17,1.0,1.0
2011-02-18,0.9,1.0
2011-02-19,0.9,1.0
2011-02-20,0.9,0.5
2011-02-21,0.8,0.5
2011-02-22,0.9,0.5
2011-02-23,0.9,0.5
2011-02-24,1.0,0.5
2011-02-25,0.9,1.0
2011-02-26,1.0,1.0
2011-02-27,0.9,1.0
2011-02-28,0.9,1.0
2011-03-01,0.9,0.5
2011-03-02,0.9,0.5
2011-03-03,0.9,0.5
2011-03-04,0.9,0.5
2011-03-05,0.9,0.5
2011-03-06,0.9,0.5
2011-03-07,0.9,0.5
2011-03-08,0.9,0.5
2011-03-09,0.9,0.5
2011-03-10,0.9,0.5
2011-03-11,0.9,0.5
2011-03-12,0.9,0.5
2011-03-13,0.9,0.5
2011-03-14,0.9,0.5
2011-03-15,0.9,0.5
2011-03-16,0.9,0.5
2011-03-17,0.8,0.5
2011-03-18,0.8,0.0
2011-03-19,0.8,0.0
2011-03-20,0.7,0.0
2011-03-21,0.8,0.0
2011-03-22,0.8,0.0
2011-03-23,0.8,0.0
2011-03-24,0.9,0.0
2011-03-25,0.9,0.5
2011-03-26,0.9,0.5
2011-03-27,0.8,1.0
2011-03-28,0.8,0.0
2011-03-29,0.8,0.0
2011-03-30,0.8,0.0
2011-03-31,0.8,0.0
2011-04-01,0.8,0.0
2011-04-02,0.8,0.0
2011-04-03,0.8,0.0
2011-04-04,0.7,0.0
2011-04-05,0.7,0.0
2011-04-06,0.7,-0.5
2011-04-07,0.8,-0.5
2011-04-08,0.8,-0.5
2011-04-09,0.7,-0.5
2011-04-10,0.7,-0.5
2011-04-11,0.8,-0.5
2011-04-12,0.9,-0.5
2011-04-13,0.9,0.0
2011-04-14,1.0,1.0
2011-04-15,1.0,1.0
2011-04-16,1.0,1.0
2011-04-17,1.1,1.0
2011-04-18,1.2,1.0
2011-04-19,1.2,1.0
2011-04-20,1.1,1.0
2011-04-21,1.2,1.0
2011-04-22,1.4,1.0
2011-04-23,1.7,1.0
2011-04-24,1.6,1.0
2011-04-25,1.6,1.0
2011-04-26,1.8,1.0
2011-04-27,1.9,1.0
2011-04-28,2.2,1.0
2011-04-29,2.9,1.0
2011-04-30,3.5,1.0
2011-05-01,3.0,1.0
2011-05-02,3.2,1.0
2011-05-03,3.4,1.0
2011-05-04,3.4,1.0
2011-05-05,3.3,1.0
2011-05-06,3.5,1.0
2011-05-07,3.6,1.0
2011-05-08,3.9,1.0
2011-05-09,3.8,1.0
2011-05-10,5.8,1.0
2011-05-11,5.5,1.0
2011-05-12,6.3,1.0
2011-05-13,8.2,1.0
2011-05-14,7.2,1.0
2011-05-15,7.0,1.0
2011-05-16,8.0,1.0
2011-05-17,7.2,1.0
2011-05-18,6.9,1.0
2011-05-19,6.8,1.0
2011-05-20,5.6,1.0
2011-05-21,6.1,1.0
2011-05-22,6.7,1.0
2011-05-23,7.2,1.0
2011-05-24,7.4,1.0
2011-05-25,8.4,1.0
2011-05-26,8.8,1.0
2011-05-27,8.5,1.0
2011-05-28,8.3,1.0
2011-05-29,8.4,1.0
2011-05-30,8.8,1.0
2011-05-31,8.7,1.0
2011-06-01,9.6,1.0
2011-06-02,10.6,1.0
2011-06-03,14.3,1.0
2011-06-04,18.9,1.0
2011-06-05,16.7,1.0
2011-06-06,18.5,1.0
2011-06-07,23.9,1.0
2011-06-08,29.6,1.0
2011-06-09,28.9,1.0
2011-06-10,24.0,1.0
2011-06-11,14.6,1.0
2011-06-12,18.5,1.0
2011-06-13,19.8,1.0
2011-06-14,19.3,1.0
2011-06-15,19.5,1.0
2011-06-16,17.0,1.0
2011-06-17,15.7,0.5
2011-06-18,16.9,0.5
2011-06-19,17.5,0.5
2011-06-20,17.5,0.5
2011-06-21,17.5,0.5
2011-06-22,17.5,0.5
2011-06-23,17.5,0.5
2011-06-24,17.5,0.5
2011-06-25,17.5,0.5
2011-06-26,16.5,0.5
2011-06-27,16.8,0.5
2011-06-28,17.0,0.5
2011-06-29,16.9,0.5
2011-06-30,16.1,0.5
2011-07-01,15.4,0.5
2011-07-02,15.4,0.5
2011-07-03,15.4,0.5
2011-07-04,13.9,0.0
2011-07-05,12.9,0.0
2011-07-06,14.8,0.0
2011-07-07,14.8,0.0
2011-07-08,14.3,0.0
2011-07-09,14.4,0.0
2011-07-10,14.9,0.0
2011-07-11,14.2,0.0
2011-07-12,14.0,0.0
2011-07-13,13.9,0.0
2011-07-14,14.0,0.0
2011-07-15,13.8,0.0
2011-07-16,13.7,0.0
2011-07-17,13.2,0.0
2011-07-18,13.5,0.0
2011-07-19,13.9,0.0
2011-07-20,13.7,0.0
2011-07-21,13.6,0.0
2011-07-22,13.7,0.0
2011-07-23,13.7,0.0
2011-07-24,14.0,0.0
2011-07-25,14.1,0.0
2011-07-26,13.9,0.0
2011-07-27,13.9,0.0
2011-07-28,13.5,0.0
2011-07-29,13.5,0.0
2011-07-30,13.5,0.0
2011-07-31,13.4,0.0
2011-08-01,13.1,0.0
2011-08-02,12.1,-0.5
2011-08-03,9.3,-0.5
2011-08-04,10.8,-0.5
2011-08-05,9.8,-0.5
